term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
s(built):cat_ruccless urbanized,NA,NA,5.604970241983787,0.017980167599991326,NA,NA,3cr.b,1.0000770987226921,1.000153902844055
s(built):cat_ruccthinly populated,NA,NA,0.2220660108980325,0.6377296843709004,NA,NA,3cr.b,1.0001965890814584,1.0003927728559574
s(built):cat_ruccnonmetropolitan-urbanized,NA,NA,1.9311258069535726,0.05322153452963985,NA,NA,3cr.b,5.719314637363121,6.769049136683809
s(water),NA,NA,36.10606761923006,0,NA,NA,3cr.b,8.997205278254857,8.999956901271233
s(air),NA,NA,22.996373525034997,0,NA,NA,3cr.b,7.561626937247462,8.478767057422125
s(land),NA,NA,22.658933796420623,0,NA,NA,3cr.b,7.596987461461827,8.485560481414748
s(sociod),NA,NA,30.013862494347208,0,NA,NA,3cr.b,8.361990895869733,8.825637412029927
s(perc_age1849),NA,NA,58.20629527572902,0,NA,NA,3cr.b,6.0870374633944895,7.2507033478504335
s(perc_smokers),NA,NA,27.563788998465057,0,NA,NA,3cr.b,3.7455327935822273,4.717433483774894
s(land):cat_ruccmetropolitan-urbanized,NA,NA,23.559551703642214,0,NA,NA,3cr.l,7.683458920907446,8.536688722618706
s(land):cat_ruccless urbanized,NA,NA,2.7637951716518065,0.006423134069013958,NA,NA,3cr.l,6.011185032242558,7.138085018102137
s(land):cat_ruccthinly populated,NA,NA,1.0441122386437596,0.27804120943737254,NA,NA,3cr.l,2.0755637091086414,2.609468688103579
s(land):cat_ruccnonmetropolitan-urbanized,NA,NA,1.9647322095879682,0.10960569801834469,NA,NA,3cr.l,1.5404391981229597,1.9279810782328552
s(water),NA,NA,37.70820644296875,0,NA,NA,3cr.l,8.985198669752478,8.999766373099362
s(air),NA,NA,22.400043463117846,0,NA,NA,3cr.l,7.536010920305419,8.464030358033362
s(built),NA,NA,18.82827266672336,0,NA,NA,3cr.l,8.508557242957734,8.91500255637886
s(sociod),NA,NA,31.83883772557732,0,NA,NA,3cr.l,8.420215781750098,8.852188578884878
s(perc_age1849),NA,NA,55.78392804341531,0,NA,NA,3cr.l,6.503896801786341,7.6255022917732544
s(perc_smokers),NA,NA,26.745523940285686,0,NA,NA,3cr.l,3.7917074906279513,4.7705400011203505
s(sociod):cat_ruccmetropolitan-urbanized,NA,NA,15.236788433936937,0,NA,NA,3cr.s,7.971463177194318,8.369238401392296
s(sociod):cat_ruccless urbanized,NA,NA,28.833597556216795,0,NA,NA,3cr.s,4.129238916393095,5.082943878743515
s(sociod):cat_ruccthinly populated,NA,NA,23.007991454537212,1.8815509784109175e-6,NA,NA,3cr.s,1.0013217511879782,1.0026353030796005
s(sociod):cat_ruccnonmetropolitan-urbanized,NA,NA,22.56647581640377,0,NA,NA,3cr.s,4.37324593585535,5.251706465928781
s(water),NA,NA,36.36283271347058,0,NA,NA,3cr.s,8.990522211200798,8.999868651836115
s(air),NA,NA,22.338046983699694,0,NA,NA,3cr.s,7.658800969100326,8.541616557879548
s(land),NA,NA,23.510281274409106,0,NA,NA,3cr.s,7.495759904066524,8.418963727867338
s(built),NA,NA,22.26458606818624,0,NA,NA,3cr.s,8.66051558392199,8.954473503973423
s(perc_age1849),NA,NA,53.31060371466083,0,NA,NA,3cr.s,6.081182740924047,7.246742735582612
s(perc_smokers),NA,NA,26.919337573210353,0,NA,NA,3cr.s,3.710411199334464,4.677758863543013
s(water):cat_ruccmetropolitan-urbanized,NA,NA,31.808639258610295,0,NA,NA,3cr.w,8.98553558866587,8.999759229043246
s(water):cat_ruccless urbanized,NA,NA,8.578677816417093,4.73383405719674e-5,NA,NA,3cr.w,2.207622924557831,2.685645067079656
s(water):cat_ruccthinly populated,NA,NA,0.9111120514464156,0.3137865806386905,NA,NA,3cr.w,1.5620377791193159,1.8926815839036784
s(water):cat_ruccnonmetropolitan-urbanized,NA,NA,3.191254908645586,0.07410169242767184,NA,NA,3cr.w,1.000260993435414,1.0005213809300209
s(air),NA,NA,22.193301498505537,0,NA,NA,3cr.w,7.441501066239381,8.403155787611766
s(land),NA,NA,22.600796897694234,0,NA,NA,3cr.w,7.58480726907088,8.478583523353585
s(built),NA,NA,19.13718256479088,0,NA,NA,3cr.w,8.60862669802724,8.944687575255307
s(sociod),NA,NA,33.40692578215044,0,NA,NA,3cr.w,8.503374688024655,8.887593945054824
s(perc_age1849),NA,NA,56.796445589391155,0,NA,NA,3cr.w,6.338209327474391,7.4795226353052335
s(perc_smokers),NA,NA,28.367768013305525,0,NA,NA,3cr.w,3.7412769602195914,4.713757596313153
